Name;Path;Cmp;A/N;Description;MAK Status
APZ110MI;mvx/app/pgm/customer;CBR;C001567CBR014T;GAP250 Entwicklung von Schnittstellen zum Finanzsystem;exported
ARS115;mvx/app/pgm/customer;CBR;C001683CBR002T;multiple text on standard letter - migration from 14.1.2;exported
ARS115;viewDef;CBR;C001683CBR002T;multiple text on standard letter - migration from 14.1.2;exported
ARS116;mvx/app/pgm/customer;CBR;C001573CBR003T;GAP103 Information Differenzschreiben zu Offene Posten;exported
ARS116;mvx/app/pgm/customer;CBR;C001683CBR002T;multiple text on standard letter - migration from 14.1.2;exported
ARS116;mvx/app/pgm/customer;CBR;C001716CBR002N;Migration - Ticket No. 44207 - Adressfelder aus OIS002.;exported
ARS116;mvx/out/obj;CBR;C001683CBR002T;multiple text on standard letter - migration from 14.1.2;exported
ARS120;mvx/app/pgm/customer;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ARS120;viewDef;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ARS122;mvx/app/pgm/customer;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ARS122;viewDef;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ARS150;mvx/app/pgm/customer;CBR;C002008CBR001T;CR 153-Selektion Status Mahnläufe in ARS150 (Ticket 102277);test
ARS150;viewDef;CBR;C002008CBR001T;CR 153-Selektion Status Mahnläufe in ARS150 (Ticket 102277);test
ARS159;mvx/app/pgm/customer;CBR;C001659CBR002T;GAP56 Sortierung Mahnung Debitoren - migration from 14.1.2;exported
ARS159;mvx/app/pgm/customer;CBR;C001716CBR002N;Migration - Ticket No. 44207 - Adressfelder aus OIS002.;exported
ARS159;mvx/out/obj;CBR;C001659CBR002T;GAP56 Sortierung Mahnung Debitoren - migration from 14.1.2;exported
ARS200;mvx/app/pgm/customer;CBR;C001573CBR003T;GAP103 Information Differenzschreiben zu Offene Posten;exported
